Companies,Symbols,Ratings,Risk
Ahli United Bank,KUW:ALMUTAHED,26.5,Medium ESG Risk
"Ahnlab, Inc.",KRX:053800,25.7,Medium ESG Risk
Ai Holdings Corp.,TKS:3076,17.0,Low ESG Risk
AIA Engineering Ltd.,BOM:532683,23.9,Medium ESG Risk
AIA Group Ltd.,HKG:1299,12.7,Low ESG Risk
AIB Group plc,DUB:A5G,12.7,Low ESG Risk
Aibel ASA,-,14.6,Low ESG Risk
"Aica Kogyo Co., Ltd.",TKS:4206,25.6,Medium ESG Risk
Aichi Corp.,TKS:6345,29.4,Medium ESG Risk
"Aichi Financial Group, Inc.",TKS:7389,34.2,High ESG Risk
Aichi Steel Corp.,TKS:5482,37.9,High ESG Risk
Aida Engineering Ltd.,TKS:6118,31.2,High ESG Risk
"Aier Eye Hospital Group Co., Ltd.",SHE:300015,28.9,Medium ESG Risk
AIFUL Corp.,TKS:8515,29.5,Medium ESG Risk
"AIM Vaccine Co., Ltd.",HKG:6660,27.5,Medium ESG Risk
"AIMA Technology Group Co., Ltd.",SHG:603529,13.0,Low ESG Risk
AIMCo Realty Investors LP,-,28.5,Medium ESG Risk
AIMS APAC REIT,SES:O5RU,12.4,Low ESG Risk
"Ain Holdings, Inc.",TKS:9627,16.9,Low ESG Risk
"Aiphone Co., Ltd.",TKS:6718,19.4,Low ESG Risk
Air Arabia PJSC,DFM:AIRARABIA,35.3,High ESG Risk
Air Canada,TSE:AC,25.7,Medium ESG Risk
Air China Ltd.,HKG:753,28.5,Medium ESG Risk
Air France-KLM SA,PAR:AF,30.0,Medium ESG Risk
Air Lease Corp.,NYS:AL,14.0,Low ESG Risk
Air Liquide SA,PAR:AI,15.9,Low ESG Risk
Air New Zealand Ltd.,NZE:AIR,30.6,High ESG Risk
"Air Products & Chemicals, Inc.",NYS:APD,15.1,Low ESG Risk
"Air Transport Services Group, Inc.",NAS:ATSG,23.6,Medium ESG Risk
"Air Water, Inc.",TKS:4088,22.2,Medium ESG Risk
"Airbnb, Inc.",NAS:ABNB,24.3,Medium ESG Risk
Airbus SE,PAR:AIR,25.6,Medium ESG Risk
Aircastle Ltd.,-,21.7,Medium ESG Risk
Airport Authority Hong Kong,-,10.3,Low ESG Risk
Airport City Ltd.,TAE:ARPT,24.4,Medium ESG Risk
"Airport Facilities Co., Ltd.",TKS:8864,23.5,Medium ESG Risk
Airports of Thailand Public Co. Ltd.,BKK:AOT,17.1,Low ESG Risk
"AirSculpt Technologies, Inc.",NAS:AIRS,33.1,High ESG Risk
Airservices Australia,-,19.3,Low ESG Risk
Airtac International Group,TAI:1590,34.1,High ESG Risk
Airtel Africa Plc,LON:AAF,23.9,Medium ESG Risk
AirTrip Corp.,TKS:6191,39.8,High ESG Risk
"Aisan Industry Co., Ltd.",TKS:7283,23.4,Medium ESG Risk
Aisin Corp.,TKS:7259,25.6,Medium ESG Risk
Aisino Corp.,SHG:600271,25.1,Medium ESG Risk
AIXTRON SE,ETR:AIXA,21.3,Medium ESG Risk
AJ Bell Plc,LON:AJB,24.6,Medium ESG Risk
Ajanta Pharma Ltd.,BOM:532331,32.3,High ESG Risk
"Ajinomoto Co., Inc.",TKS:2802,27.2,Medium ESG Risk
Ajman Bank PJSC,DFM:AJMANBANK,38.0,High ESG Risk
AK Medical Holdings Ltd.,HKG:1789,23.2,Medium ESG Risk
"Akamai Technologies, Inc.",NAS:AKAM,15.1,Low ESG Risk
"Akatsuki, Inc.",TKS:3932,24.1,Medium ESG Risk
Akbank TAS,IST:AKBNK.E,17.9,Low ESG Risk
Akcansa Cimento Sanayi ve Ticaret AS,IST:AKCNS.E,30.0,High ESG Risk
"Akebono Brake Industry Co., Ltd.",TKS:7238,24.9,Medium ESG Risk
Akelius Residential Property AB,OME:AKEL.D,15.1,Low ESG Risk
Aker ASA,OSL:AKER,14.5,Low ESG Risk
Aker BP ASA,OSL:AKRBP,34.7,High ESG Risk
Aker Carbon Capture AS,OSL:ACC,18.8,Low ESG Risk
Aker Horizons ASA,OSL:AKH,21.0,Medium ESG Risk
Aker Solutions ASA,OSL:AKSO,23.4,Medium ESG Risk
"Akero Therapeutics, Inc.",NAS:AKRO,31.7,High ESG Risk
"Akeso, Inc.",HKG:9926,35.3,High ESG Risk
Akis Gayrimenkul Yatirim Ortakligi AS,IST:AKSGY.E,13.4,Low ESG Risk
"Akoustis Technologies, Inc.",NAS:AKTS,23.7,Medium ESG Risk
"Akoya Biosciences, Inc.",NAS:AKYA,31.8,High ESG Risk
Aksa Akrilik Kimya Sanayii AS,IST:AKSA.E,11.4,Low ESG Risk
Aksa Enerji Üretim AS,IST:AKSEN.E,37.1,High ESG Risk
Aksigorta AS,IST:AKGRT.E,24.4,Medium ESG Risk
Aktia Bank Plc,HEL:AKTIA,18.8,Low ESG Risk
"Akumin, Inc.",-,26.1,Medium ESG Risk
AKWEL SA,PAR:AKW,10.5,Low ESG Risk
Akzo Nobel India Ltd.,BOM:500710,31.6,High ESG Risk
Akzo Nobel NV,AMS:AKZA,20.8,Medium ESG Risk
Al Ahli Bank of Kuwait KSC,KUW:ABK,30.8,High ESG Risk
Al Dawaa Medical Services Co.,SAU:4163,19.5,Low ESG Risk
Al Hammadi Holding,SAU:4007,33.2,High ESG Risk
Al Jouf Cement Co.,SAU:3091,46.1,Severe ESG Risk
Al Masane Al Kobra Mining Co.,SAU:1322,45.4,Severe ESG Risk
Al Moammar Information Systems Co.,SAU:7200,27.2,Medium ESG Risk
Al Rajhi Bank,SAU:1120,25.3,Medium ESG Risk
Al Rajhi Co. for Cooperative Insurance,SAU:8230,35.4,High ESG Risk
Al Yah Satellite Communications Co. PJSC,ADS:YAHSAT,23.0,Medium ESG Risk
Al-Jouf Agricultural Development Co.,SAU:6070,47.4,Severe ESG Risk
